Date,Open,High,Low,Close,Volume
31-Dec-99,11453.50,11598.30,11368.10,11497.10,3740500
30-Dec-99,11484.40,11640.30,11388.90,11452.90,5546800
29-Dec-99,11472.90,11658.70,11367.50,11484.70,5678600
28-Dec-99,11389.20,11613.70,11302.10,11476.70,6554000
27-Dec-99,11410.70,11603.00,11253.20,11391.10,7226000
23-Dec-99,11202.10,11506.40,11202.10,11405.80,7286000
22-Dec-99,11199.50,11375.20,11075.80,11203.60,8500000
21-Dec-99,11142.40,11336.00,10973.60,11200.50,9635000
20-Dec-99,11254.50,11417.40,11026.20,11144.30,9046000
17-Dec-99,11259.30,11497.20,11103.60,11257.40,13498000
16-Dec-99,11224.40,11396.90,11016.10,11244.90,10703000
15-Dec-99,11158.80,11400.50,11014.60,11225.30,10339000
14-Dec-99,11195.30,11336.30,11027.10,11160.20,10278000
13-Dec-99,11217.50,11379.50,11024.40,11192.60,9776000
10-Dec-99,11137.90,11358.70,11042.10,11224.70,9872000
9-Dec-99,11073.60,11327.50,10962.60,11134.80,11221000
8-Dec-99,11107.30,11273.30,10957.40,11068.10,9570000
7-Dec-99,11221.70,11351.30,10993.50,11106.70,10858000
6-Dec-99,11286.80,11412.80,11100.50,11225.00,9168000
3-Dec-99,11046.10,11423.50,11046.10,11286.20,10064000
2-Dec-99,10995.00,11183.70,10896.20,11039.10,9007000
1-Dec-99,10876.50,11111.20,10798.10,10998.40,8840000
30-Nov-99,10945.50,11142.10,10785.20,10877.80,9515000
29-Nov-99,10985.70,11059.30,10814.00,10947.90,8661000
26-Nov-99,11007.30,11115.80,10938.40,10988.90,3121200
24-Nov-99,11000.20,11131.10,10859.20,11008.20,7348000
23-Nov-99,11090.30,11178.80,10899.60,10995.60,9261000
22-Nov-99,11008.80,11195.30,10887.70,11089.50,8735000
19-Nov-99,11033.30,11146.40,10871.80,11003.90,8938000
18-Nov-99,10887.70,11147.00,10859.90,11035.70,10228000
17-Nov-99,10929.00,11040.90,10774.20,10883.10,9600000
16-Nov-99,10762.90,10992.90,10691.90,10932.30,9422000
15-Nov-99,10764.70,10899.20,10626.80,10760.80,7957000
12-Nov-99,10593.50,10845.20,10513.00,10769.30,9002000
11-Nov-99,10603.30,10716.70,10485.20,10595.30,8913000
10-Nov-99,10611.90,10713.00,10449.40,10597.70,9847000
9-Nov-99,10715.10,10806.00,10506.60,10617.30,8543000
8-Nov-99,10668.40,10838.70,10548.20,10718.90,8068000
5-Nov-99,10640.00,10885.50,10636.60,10704.50,10073000
