"satisfaction"	"research"	"staffratio"	"services"	"entrance"	"completion"	"honours"	"jobprospect"	"total"
"Oxford"	85	3.5	10.8	3396	524	97.7	91.1	82.3	1000
"Cambridge"	86	3.7	11.6	2385	539	99	87	85.5	968
"ImperialCollege"	75	2.7	10.3	3518	489	97.1	68.5	88.4	859
"StAndrews"	84	2.5	12.4	1423	468	94.2	85.1	77.8	792
"UniversityCollegeLondon"	77	2.7	8.9	1784	452	92	80.4	82.9	775
"Warwick"	77	2.4	13.1	2118	463	96	79.7	79.2	772
"LondonSchoolofEconomics"	73	2.8	13.3	1699	483	96.5	76	90.6	768
"Durham"	79	2.5	14.8	1578	459	96.7	77.5	78.3	749
"Exeter"	85	2.5	17.5	1378	394	94.8	79.4	71.7	723
"Bristol"	74	2.6	13.1	1657	447	95.6	81.5	82	722
"York"	79	2.5	13.1	1534	434	96	74.9	69.4	711
"KingsCollegeLondon"	76	2	11.4	1821	415	92.3	72.8	83.2	709
"Bath"	78	2	15	1358	440	95.7	75.1	81.9	705
"Edinburgh"	74	2.8	12.4	1511	447	90.4	80.6	76.9	704
"Leicester"	84	1.9	14.7	1489	360	93	71.6	76.2	693
"Southampton"	78	2	13.9	1562	407	93.7	74.6	76.5	693
"Loughborough"	85	2.1	17	1340	368	91.3	67.7	75.7	691
"Sheffield"	78	2.4	14.2	1191	406	92.1	74.5	79.1	684
"Glasgow"	79	2.2	13.2	1377	412	86.6	71.3	75.4	671
"Nottingham"	76	2.1	13.7	1402	408	95.7	74.3	76.3	668
"Newcastle"	77	2	14.9	1504	405	92.2	72.2	79.4	664
"Birmingham"	78	2.1	14.9	1552	403	93.6	70.9	72.7	663
"Lancaster"	79	2.4	13.7	1407	388	93.3	69.6	64.3	661
"Manchester"	73	2.4	13.6	1489	412	91.6	70.4	73.8	641
"Aston"	80	1.2	16.5	1507	365	91	63.6	78.1	631
"Cardiff"	77	1.8	14.7	1177	394	92.4	66.8	77.6	630
"Leeds"	76	2	13.9	1143	392	91.9	73.4	71.1	627
"Liverpool"	76	1.8	12.2	1273	387	91.2	68.8	72.5	622
"EastAnglia"	83	1.8	17.1	1231	361	85.4	70.1	71.9	622
"RoyalHolloway"	75	2.3	14.5	1308	365	92.9	70.3	69.8	617
"Reading"	79	2.1	16.7	1062	347	91.7	75.4	68.7	612
"QueensBelfast"	78	1.7	15.2	1362	358	85	69	78.3	611
"Aberdeen"	81	1.9	15.1	1194	363	77.3	67.6	74.4	607
"SchoolofOrientalandAfricanStudies"	72	1.7	10.8	1829	378	82.6	73.2	73.5	607
"Sussex"	74	2.2	15.5	1117	378	90.1	81.7	70.6	606
"QueenMaryLondon"	76	2	13	1161	346	88.5	64.2	77.3	600
"Surrey"	76	1.8	16.8	1202	352	88.8	65.1	80	596
"Strathclyde"	76	1.6	19.1	1344	394	83.1	73.9	78.1	596
"Kent"	81	1.4	17.1	1148	317	87.8	61.7	71.8	566
"HeriotWatt"	75	1.7	15.6	1183	350	80.3	65.5	76.2	558
"Dundee"	78	1.5	14	1124	371	71.4	65.8	75.6	554
"Keele"	77	1.2	14.3	1148	319	89.1	64.4	70.4	552
"Essex"	76	1.8	13.7	1385	302	87.4	61	62.7	550
"Hull"	81	1.1	18.7	1096	285	87	57.7	73.2	530
"GoldsmithsCollege"	72	2.1	12.7	806	318	85.7	65.2	69	529
"Aberystwyth"	81	1.7	17.6	1047	310	87.5	61.1	53	522
"Brunel"	72	1.6	17.8	1576	319	86.4	64.9	67.9	516
"Stirling"	76	1.3	14.2	958	288	81.5	64.3	69.8	512
"City"	72	1.2	17.8	993	316	84.3	66.6	81.4	511
"Swansea"	78	1.5	14.7	1122	304	87.3	50.3	62.5	506
"RobertGordon"	NA	0.6	18	1102	332	81.8	53.2	84.1	504
"OxfordBrookes"	77	0.6	18.4	997	301	83.9	66.1	73	496
"Bradford"	75	1	15	1176	270	82.3	62.8	70.4	492
"Ulster"	75	1	15.9	1548	268	77.4	61.4	65	487
"Bangor"	77	1.5	18.9	998	283	83.9	55.7	67.8	480
"Portsmouth"	79	0.5	18.7	1158	271	86.1	52.4	63.9	463
"NottinghamTrent"	74	0.4	17.1	1144	276	86.2	55.7	74.1	462
"Bournemouth"	74	0.4	20.8	1059	289	85.2	58.9	75.5	450
"Chichester"	81	0.2	18.3	851	234	89.2	49.3	64	445
"GlasgowCaledonian"	75	0.3	21	933	328	76.8	66.5	68.8	443
"QueenMargaretEdinburgh"	NA	0.4	20	885	328	78.5	65.3	69.2	442
"WestofEngland"	76	0.5	19.2	995	275	78.8	63.2	66.1	436
"Plymouth"	75	0.7	15.7	955	268	84.3	61.5	58	435
"Northumbria"	76	0.3	20	1063	291	80.3	54.1	73	434
"EdinburghNapier"	NA	0.4	18.2	895	291	72.6	62.4	72.9	430
"Hertfordshire"	73	0.3	14.4	1593	244	82.3	47.3	65.3	424
"DeMontfort"	77	0.6	17	882	248	81.5	51.1	65.7	424
"Gloucestershire"	74	0.3	16.5	1190	239	82.1	56.2	64.2	421
"SheffieldHallam"	73	0.4	18.1	937	268	83.8	61.3	64.2	420
"Brighton"	74	0.8	20	800	278	84.7	58.5	65.3	417
"Coventry"	75	0.3	19.1	1122	280	75.2	61	67.5	414
"Bedfordshire"	75	0.2	15.6	1431	215	75.1	47.8	66.7	414
"Winchester"	77	0.4	17.2	867	261	85.6	55.7	55.6	411
"Staffordshire"	76	0.1	17.5	1092	232	78.1	53	69	410
"BathSpa"	77	0.4	21.6	615	287	87	67.7	59	410
"UWICCardiff"	74	0.4	19.9	1205	261	83.2	51.8	61.5	401
"BirminghamCity"	72	0.2	16.5	1217	258	75.5	57.3	65.7	393
"CentralLancashire"	76	0.4	20.2	1083	252	72.9	49.3	70.1	392
"Lampeter"	74	1	14.6	482	252	82.7	52.8	61.8	391
"YorkStJohn"	75	0.2	20	1042	288	84.5	52.9	58.8	390
"Worcester"	76	0.1	20	869	236	83.9	48.4	68.2	389
"Teesside"	77	0.2	19.3	808	257	72.7	52.4	67.3	389
"Cumbria"	70	0.1	14.9	741	256	84.2	48.8	71.4	384
"Salford"	73	0.9	18.6	987	253	76.4	55.1	62.7	383
"Sunderland"	77	0.5	16.1	775	226	75.6	50.2	59.3	383
"Lincoln"	75	0.5	23.7	865	266	85	57.1	60.4	381
"Huddersfield"	74	0.2	16.1	897	265	81.2	51.9	56.9	378
"EdgeHill"	78	0.1	19.8	1082	248	79.2	46.1	56.8	373
"Kingston"	73	0.4	19.1	1012	236	79.4	60.1	61	372
"ManchesterMetropolitan"	72	0.5	19.7	972	266	79	57.2	63.8	371
"Chester"	73	0.2	18.3	753	267	78.2	54.8	65.1	365
"Roehampton"	71	0.8	18.4	1242	251	78.5	51	56.8	362
"Northampton"	75	0.2	20.4	853	233	81.3	53.7	59.5	362
"Glamorgan"	74	0.4	18.3	1103	263	69.1	52.4	60.4	361
"Abertay"	NA	0.4	19.8	1603	279	70.1	48.3	53.3	353
"UniversityoftheArtsLondon"	62	1	21.7	849	322	85.5	61.6	63.6	339
"Glyndwr"	72	0.2	19.7	996	212	70.1	50.6	69.3	338
"CanterburyChristChurch"	73	0.2	18.3	633	238	80.2	49.7	59	334
"LiverpoolJohnMoores"	73	0.4	19.6	979	244	76.1	45.7	58.8	327
